games__id,games__name,games__url,games__thumbnailUrl
mega_ball.evolution,メガ・ボール,https://www.mystino.com/ja/game/mega_ball.evolution/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/6eZgsEpNCB5DavXKXofoGp/794e626b0ef5c1e6589d8312ccb2e475/Mega_Ball.jpg"
live_lobby_baccarat.evolution,ライブ・バカラ・ロビー,https://www.mystino.com/ja/game/live_lobby_baccarat.evolution/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/7iLl0NVMAASY9iiyx2lOkT/3e7b818e28c6f8ea3b9a39ff9288dc99/2020_03_live_baccarat.png"
live_lobby_roulette.evolution,ライブ・ルーレット・ロビー,https://www.mystino.com/ja/game/live_lobby_roulette.evolution/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/5yslWzAid08XE8cR86ZRws/f8cead5c821444723b3fe74e5677f293/2013_live_roulette_wheel_close_up_9.jpg"
live_lobby_blackjack.evolution,ライブ・ブラックジャック・ロビー,https://www.mystino.com/ja/game/live_lobby_blackjack.evolution/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/2DTUrjQsDE9IRw1hp3hWzu/44e62bcbde6222fa18b734640602a429/2019_11_silver_live_blackjack_female_dealer_brunette_gameplay_12558_04_1997_1.jpg"
crazy_time.evolution,クレイジー・タイム,https://www.mystino.com/ja/game/crazy_time.evolution/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/2dkr4z9aiO0VI7LxOf46pg/6cc3c556224a7f9766de785dfaca28d6/Crazy_Time.jpg"
live_lightning_baccarat.evolution,ライブ・ライトニング・バカラ,https://www.mystino.com/ja/game/live_lightning_baccarat.evolution/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/7qSZEAPCINdGyAlbmvrzxU/d21c8992423842423269959b4acd5aa0/live_lightning_baccarat.evolution.jpeg"
live_infinite_blackjack.evolution,ライブ・インフィニット・ブラックジャック,https://www.mystino.com/ja/game/live_infinite_blackjack.evolution/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/3eKlZpgKVIz6vqFCMI5G0K/8b426145255ff5b2446cb5ca6c12794c/11_2018_infinite_blackjack_banner_300x250px_v1.png"
live_instant_roulette.evolution,ライブ・インスタント・ルーレット,https://www.mystino.com/ja/game/live_instant_roulette.evolution/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/6mhqIydSahvqLAvV14nSEv/0b7dfca2bde4a3d42048ee39604b3671/instantroulette.png"
live_craps.evolution,ライブ・クラップス,https://www.mystino.com/ja/game/live_craps.evolution/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/65t5aGf5i51cx3DX7kGdmm/a0a2a141219b917d8a0e248c22ba6102/live_craps.evolution.jpeg"
live_super_sic_bo.evolution,ライブ・スーパーシックボー,https://www.mystino.com/ja/game/live_super_sic_bo.evolution/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/4wYaRXb1OwxNSHIvCown6M/1faf8dfc395ce5074a030ac87049b1a7/03_2019_prod_super_sic_bo_300x180_v1.jpg"
